user_id,avg_rating,rating_variance,review_count,avg_review_length,avg_sentiment,sentiment_variance,cluster,archetype,dominant_value
-EX1hrPRBqNkVavtMllTCA,3.25,1.441725157084882,36,390.19444444444446,0.1385073183525151,0.2224609044140504,2,Harsh Critic,service_quality
-M7fUg7FrdGctKr5f_eMUQ,4.090909090909091,1.3419634126405235,22,358.72727272727275,0.2152941595414293,0.1627392840924025,3,Emotional Storyteller,ambience
-WM58wLjtlHlR91xVfM1FQ,4.041666666666667,1.1970676733137326,24,632.6666666666666,0.2981142371728568,0.2063817821621325,3,Emotional Storyteller,ambience
-qTtg1D3RidRa4cTB-ftwg,4.733333333333333,0.7037315505489969,15,195.66666666666663,0.4257131433381433,0.2459096450932699,0,Warm Optimist,
02H49g16MdRoZKoX6IEoFA,4.2727272727272725,1.202450600185906,22,406.54545454545456,0.2557760326912987,0.3554399036498923,1,Reactive Reviewer,
0650daOKAuufqymyOBe3cA,4.9375,0.25,16,255.9375,0.4787391625415885,0.1962684716331407,0,Warm Optimist,
06Yz-YYYa1U9PN37b6UniA,4.0625,1.1236102527122114,16,777.625,0.316035453192892,0.162744047920088,3,Emotional Storyteller,ambience
0Tsu6-uhw_w9Z3W0Xlnazg,1.6875,1.138346754435279,16,411.125,0.0933894017797969,0.2255167499673789,2,Harsh Critic,service_quality
0xJwTzZuWOac7ufeTioeig,3.882352941176471,1.3639259941972877,17,556.7058823529412,0.2342848372697051,0.1986989034193297,3,Emotional Storyteller,ambience
175DuOm7IPiEy5f1KG9esA,3.4705882352941178,1.461325552629012,34,646.7058823529412,0.156587143635935,0.1922237432251682,2,Harsh Critic,service_quality
1Dgjx4glo2Xex9hVwL_DTA,3.804347826086957,1.2757492825332328,46,815.2826086956521,0.2194394490288718,0.1640722074753313,3,Emotional Storyteller,ambience
1EiBjAbU_MlwMcEGsMO5Tw,4.344827586206897,1.009804156011222,29,632.0,0.2401938606675896,0.1211042018416843,3,Emotional Storyteller,ambience
1SBtdOqtGIVKyXuRqMwOUQ,3.975609756097561,1.1934782125797012,41,568.6341463414634,0.2767990713430701,0.1421289757004347,3,Emotional Storyteller,ambience
1U-U6abdncybg6c2TRl0FQ,3.0526315789473686,1.5082618476808298,19,456.10526315789474,0.2047038487827961,0.1637974754546679,2,Harsh Critic,service_quality
1Z2CVv2zDnb7Dg_j_S7rOg,3.6944444444444446,1.037013416208694,36,491.55555555555554,0.3002021334238201,0.1997567381928059,3,Emotional Storyteller,ambience
1js82HjEaZdqGhVAnMNXsw,3.583333333333333,1.2128538629008951,24,264.8333333333333,0.2259765070962987,0.2663665112759346,1,Reactive Reviewer,
1kdfj_PaRk8i870ghdIvXg,3.967741935483871,0.948116412252628,31,446.8387096774193,0.2440494934909071,0.2242596609692558,3,Emotional Storyteller,ambience
21u_7llMMrgnWD9nyWbgAA,3.0,1.751190071541826,31,379.5483870967742,0.1958730767991812,0.2346720454030797,2,Harsh Critic,service_quality
27km-ZQwZMMq_Yooq3nSIw,3.5,1.5811388300841895,26,600.3461538461538,0.2220019514258555,0.2367996878507294,1,Reactive Reviewer,
2xNYCJxZOrhVsrVMz8mlDQ,3.911764705882353,0.933148695768015,34,2181.4411764705883,0.2287466344684214,0.0662787072754663,4,Deep Experience Analyst,
3GKk2POn0VFznH_KuRX8UA,1.5918367346938775,1.153226765553556,49,452.9387755102041,0.0347109961494481,0.2543176250147245,2,Harsh Critic,service_quality
3kvIOBG06_rikfpk-EHIlQ,3.727272727272727,1.3516063875403324,22,1067.0,0.1903938754342142,0.1081523912600479,3,Emotional Storyteller,ambience
4B9kkFFDjgx7UbE82sQyng,3.9,1.0618786215460558,30,401.53333333333336,0.3732742081813138,0.2165267331223871,0,Warm Optimist,
4Z2lfaP3d3oOKmEfmc9PCw,4.933333333333334,0.2581988897471611,15,828.2,0.3150613687219031,0.154080998456972,0,Warm Optimist,
4jQKzMT5Fpjs2bUhPjVwHw,3.305555555555556,1.879505169596424,36,529.1944444444445,0.208157306062347,0.3399721697199209,1,Reactive Reviewer,
4s3otbHHt1P7TGo0zcEUnw,3.7906976744186047,0.9400643223910572,43,897.3488372093024,0.1533871125881893,0.1298978723351482,3,Emotional Storyteller,ambience
