user_id,avg_rating,rating_variance,review_count,avg_review_length,avg_sentiment,sentiment_variance,cluster,archetype
-EX1hrPRBqNkVavtMllTCA,3.25,1.4417251570848821,36,390.19444444444446,0.1385073183525151,0.22246090441405045,2,Harsh Critic
-M7fUg7FrdGctKr5f_eMUQ,4.090909090909091,1.3419634126405235,22,358.72727272727275,0.2152941595414293,0.16273928409240257,3,Emotional Storyteller
-WM58wLjtlHlR91xVfM1FQ,4.041666666666667,1.1970676733137326,24,632.6666666666666,0.29811423717285684,0.2063817821621325,3,Emotional Storyteller
-qTtg1D3RidRa4cTB-ftwg,4.733333333333333,0.7037315505489969,15,195.66666666666666,0.4257131433381433,0.24590964509326999,0,Warm Optimist
02H49g16MdRoZKoX6IEoFA,4.2727272727272725,1.202450600185906,22,406.54545454545456,0.2557760326912987,0.3554399036498923,1,Reactive Reviewer
0650daOKAuufqymyOBe3cA,4.9375,0.25,16,255.9375,0.47873916254158855,0.19626847163314073,0,Warm Optimist
06Yz-YYYa1U9PN37b6UniA,4.0625,1.1236102527122114,16,777.625,0.31603545319289206,0.16274404792008806,3,Emotional Storyteller
0Tsu6-uhw_w9Z3W0Xlnazg,1.6875,1.138346754435279,16,411.125,0.09338940177979699,0.22551674996737897,2,Harsh Critic
0xJwTzZuWOac7ufeTioeig,3.8823529411764706,1.3639259941972877,17,556.7058823529412,0.23428483726970512,0.1986989034193297,3,Emotional Storyteller
175DuOm7IPiEy5f1KG9esA,3.4705882352941178,1.461325552629012,34,646.7058823529412,0.156587143635935,0.19222374322516825,2,Harsh Critic
1Dgjx4glo2Xex9hVwL_DTA,3.8043478260869565,1.2757492825332328,46,815.2826086956521,0.21943944902887186,0.16407220747533138,3,Emotional Storyteller
1EiBjAbU_MlwMcEGsMO5Tw,4.344827586206897,1.009804156011222,29,632.0,0.2401938606675896,0.12110420184168436,3,Emotional Storyteller
